Gateway Name,Gateway SN,Gateway IP Address,Gateway MAC Address,Device Name,Device Local ID,Device Type ID,Device Type Name,Logging Interval,Historical Intervals
Schneider Gateway,53005961,192.168.0.111,00:80:67:82:4B:6B,bcpm,1,150,BCPM-Model A,5,0

,,,Topic ID 1,Topic ID 2,Topic ID 3,Topic ID 4,Topic ID 5,Topic ID 6,Topic ID 7,Topic ID 8,Topic ID 9,Topic ID 10,Topic ID 11,Topic ID 12,Topic ID 13,Topic ID 14,Topic ID 15,Topic ID 16,Topic ID 17,Topic ID 18,Topic ID 19,Topic ID 20,Topic ID 21,Topic ID 22,Topic ID 23,Topic ID 24
,,,1621,1021,1621,1042,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621

Error,UTC Offset (Minutes),Local Time Stamp,Auxillary Real Energy (kWh),Auxillary Voltage L-N Avg,Microwave Real Energy (kWh),Exterior Lights Real Power Total (kW),Range 1 Real Energy (kWh),Bedroom Real Energy (kWh),Range 2 Real Energy (kWh),Flex Room Real Energy (kWh),Water Heater 1 Real Energy (kWh),Great Room Real Energy (kWh),water Heater 2 Real Energy (kWh),Interior Lights Real Energy (kWh),Dryer 1 Real Energy (kWh),Exterior Lights Real Energy (kWh),Dryer 2 Real Energy (kWh),CERV Real Energy (kWh),Bathroom Real Energy (kWh),Washing Machine Real Energy (kWh),Kitchen 1 Real Energy (kWh),Inverter 1 Real Energy (kWh),Kitchen 2 Real Energy (kWh),Fridge Real Energy (kWh),Inverter 2 Real Energy (kWh),Dishwasher Real Energy (kWh)
0,-360,2011-09-20 15:20:00,.271,120.0,.168,0,0.083,0.017,0.086,.530,1.513,.334,1.519,.662,0,.142,0,2.102,0000.000,0,.332,0,.166,.466,0,0
0,-360,2011-09-20 15:25:00,.355,120.1,.168,0,0.083,0.017,0.086,.534,1.513,.334,1.519,.662,0,.142,0,2.112,0000.000,0,.334,0,.166,.466,0,0
0,-360,2011-09-20 15:55:00,.770,120.0,.168,0,0.083,0.017,0.086,.548,1.513,.334,1.519,.662,0,.142,0,2.144,0000.000,0,.339,0,.166,.466,0,0
0,-360,2011-09-20 16:00:00,.850,120.1,.168,0,0.083,0.017,0.086,.550,1.513,.334,1.519,.662,0,.142,0,2.157,0000.000,0,.341,0,.166,.466,0,0
0,-360,2011-09-20 16:05:00,.931,120.1,.168,0,0.083,0.017,0.086,.552,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.343,0,.166,.466,0,0
0,-360,2011-09-20 16:10:00,1.002,120.1,.168,0,0.083,0.017,0.086,.554,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.345,0,.166,.466,0,0
0,-360,2011-09-20 16:15:00,1.075,119.9,.168,0,0.083,0.017,0.086,.556,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.346,0,.166,.466,0,0
0,-360,2011-09-20 16:20:00,1.156,120.1,.168,0,0.083,0.017,0.086,.558,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.348,0,.166,.466,0,0
0,-360,2011-09-20 16:25:00,1.251,119.8,.168,0,0.083,0.017,0.086,.560,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.350,0,.166,.466,0,0
0,-360,2011-09-20 16:30:00,1.340,120.0,.168,0,0.083,0.017,0.086,.562,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.352,0,.166,.466,0,0
0,-360,2011-09-20 16:35:00,1.432,120.1,.168,0,0.083,0.017,0.086,.563,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.353,0,.166,.466,0,0
0,-360,2011-09-20 16:40:00,1.514,120.0,.168,0,0.083,0.017,0.086,.563,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.355,0,.166,.466,0,0
0,-360,2011-09-20 16:45:00,1.601,120.0,.168,0,0.083,0.017,0.086,.563,1.513,.334,1.519,.662,0,.142,0,2.196,0000.000,0,.357,0,.166,.466,0,0
